left,center,right,bot,speechStart,speechEnd,time,comments,question difficulty,duration
1,0,0,0,0,0,184608,,,0
1,0,0,0,0,0,184612,,,0
1,0,0,0,0,0,184615,,,0
1,0,0,0,0,0,184618,,,0
1,0,0,0,0,0,184622,,,0
1,0,0,0,0,0,184625,,,0
1,0,0,0,0,0,184628,,,0
1,0,0,0,0,0,184632,,,0
1,0,0,0,0,0,184635,,,0
1,0,0,0,0,0,184638,,,0
1,0,0,0,0,0,184642,,,0
1,0,0,0,0,0,184645,,,0
1,0,0,0,0,0,184648,,,0
0,0,0,0,0,1,184652,,,0
0,0,0,0,0,0,184655,,,0
0,0,0,0,0,0,184658,,,0
0,0,0,0,0,0,184662,,,0
0,0,0,0,0,0,184665,,,0
0,0,0,0,0,0,184668,,,0
0,0,0,0,0,0,184672,,,0
0,0,0,0,0,0,184675,,,0
0,0,0,0,0,0,184678,,,0
0,0,0,0,0,0,184682,,,0
0,0,0,0,0,0,184685,,,0
0,0,0,0,0,0,184688,,,0
0,0,0,0,0,0,184692,,,0
0,0,0,0,0,0,184695,,,0
0,0,0,0,0,0,184698,,,0
0,0,0,0,0,0,184702,,,0
0,0,0,0,0,0,184705,,,0
0,0,0,0,0,0,184708,,,0
0,0,0,0,0,0,184712,,,0
0,0,0,0,0,0,184715,,,0
0,0,0,0,0,0,184718,,,0
0,0,0,0,0,0,184722,,,0
0,0,0,0,0,0,184725,,,0
0,0,0,0,0,0,184728,,,0
0,0,0,0,0,0,184732,,,0
0,0,0,0,0,0,184735,,,0
0,0,0,0,0,0,184738,,,0
0,0,0,0,0,0,184742,,,0
0,0,0,0,0,0,184745,,,0
0,0,0,0,0,0,184748,,,0
0,0,0,0,0,0,184752,,,0
0,0,0,0,0,0,184755,,,0
0,0,0,0,0,0,184758,,,0
0,0,0,0,0,0,184762,,,0
0,0,0,0,0,0,184765,,,0
0,0,0,0,0,0,184768,,,0
0,0,0,0,0,0,184772,,,0
0,0,0,0,0,0,184775,,,0
0,0,0,0,0,0,184778,,,0
0,0,0,0,0,0,184782,,,0
0,0,0,0,0,0,184785,,,0
0,0,0,0,0,0,184788,,,0
0,0,0,0,0,0,184792,,,0
0,0,0,0,0,0,184795,,,0
0,0,0,0,0,0,184798,,,0
0,0,0,0,0,0,184802,,,0
0,0,0,0,0,0,184805,,,0
0,0,0,0,0,0,184808,,,0
0,0,0,0,0,0,184812,,,0
0,0,0,0,0,0,184815,,,0
0,0,0,0,0,0,184818,,,0
0,0,0,0,0,0,184822,,,0
0,1,0,0,0,0,184825,What excites you in the classes you \emph=0\take?,Question Low,3.0
0,0,0,0,0,0,184825,,,0
0,0,0,1,1,0,184828,,,0
0,0,0,1,0,0,184832,,,0
